layer,dir,mode,c,n_pairs,P_A_plus,P_A_minus,P_A_zero,swing,ci_lo,ci_hi,mass_plus,mass_minus
23,probe,contrastive,0.05,120,0.9879323736945431,0.016773585822750993,0.6064187774340887,0.9711587878717921,0.9404251948363502,0.9951523259116695,0.9895120000000001,0.9958341666666667
26,probe,contrastive,0.05,120,0.9018982403397318,0.16302451178748265,0.6064187774340887,0.7388737285522492,0.6705016792493902,0.8009166339953293,0.98751575,0.9916675
29,probe,contrastive,0.05,120,0.7870379956961571,0.541324949494463,0.6064187774340887,0.2457130462016942,0.1960989978172936,0.2955952109502804,0.9875006250000001,0.9875260416666667
32,probe,contrastive,0.05,120,0.6961446221153692,0.5465273827587587,0.6064187774340887,0.14961723935661045,0.11022918991862969,0.1908262966538785,0.9874757916666667,0.9875005833333332
35,probe,contrastive,0.05,120,0.6200354944775583,0.5976094678564493,0.6064187774340887,0.022426026621109037,0.009742057719212988,0.03660909891207353,0.9875006666666667,0.9875006666666667
38,probe,contrastive,0.05,120,0.6117173698597124,0.6070832097601849,0.6064187774340887,0.0046341600995275746,0.00048088347518711425,0.008523671137608973,0.9875004999999999,0.9875010416666666
41,probe,contrastive,0.05,120,0.6135198371712249,0.6167480507616412,0.6064187774340887,-0.003228213590416292,-0.008355860846995121,0.0013871380187843402,0.9875007916666667,0.9875034583333334
44,probe,contrastive,0.05,120,0.6116357192327883,0.6094356137503497,0.6064187774340887,0.0022001054824385153,-0.003992748130442622,0.008079598841863052,0.9875007916666667,0.9875005833333332
47,probe,contrastive,0.05,120,0.6131481289690283,0.6188766512301008,0.6064187774340887,-0.005728522261072465,-0.017420583715522596,0.0051129255425509095,0.98750075,0.9875031249999999
50,probe,contrastive,0.05,120,0.60209018370132,0.6178851235669485,0.6064187774340887,-0.01579493986562854,-0.02792175058574878,-0.005070461815904613,0.9875006666666667,0.9875017916666666
53,probe,contrastive,0.05,120,0.6231098469673436,0.6330361500168025,0.6064187774340887,-0.009926303049458806,-0.020595100087850673,-0.00011409092910277444,0.9875002916666666,0.9875005
56,probe,contrastive,0.05,120,0.6190150551534853,0.6211398310321233,0.6064187774340887,-0.0021247758786380956,-0.005399642424225343,0.0005002151573730302,0.9875012916666667,0.98750175
59,probe,contrastive,0.05,120,0.6068784255260762,0.6061379705621067,0.6064187774340887,0.0007404549639694886,-0.000534940725017094,0.002119529083995401,0.9875010416666666,0.9875010416666666
14,probe,contrastive,0.06,120,0.6206754012818094,0.6022675201561883,0.6064187774340887,0.018407881125621025,-0.026145935903145172,0.06319935932539601,0.99165675,0.9916667916666666
17,probe,contrastive,0.06,120,0.7536691362455957,0.42798111551514567,0.6064187774340887,0.32568802073045,0.2642556645486874,0.3918015304986107,0.9999796666666666,0.9960149166666666
20,probe,contrastive,0.06,120,0.9389019957507506,0.05145705139637724,0.6064187774340887,0.8874449443543734,0.8396076101573343,0.933238471805642,0.9969446666666666,0.9999604166666667
23,probe,contrastive,0.06,120,0.9999471013500963,0.004309363458366692,0.6064187774340887,0.9956377378917296,0.9871602830767213,0.999953559896826,0.983006125,0.995831375
26,probe,contrastive,0.06,120,0.8928513865254727,0.17424017691478297,0.6064187774340887,0.7186112096106897,0.650517949139197,0.7813489171145332,0.9877939583333333,0.9916704583333333
29,probe,contrastive,0.06,120,0.7593455059980276,0.5873796488155597,0.6064187774340887,0.1719658571824679,0.12783312645939404,0.218416748593232,0.98750225,0.9875622083333333
32,probe,contrastive,0.06,120,0.7050136444246005,0.5440492441500512,0.6064187774340887,0.1609644002745494,0.11942540041618682,0.20517577146092209,0.9874210833333333,0.9875005833333332
